Date,SID,BTpop
6/1/2017,7412825,2819
6/2/2017,7412825,2819
6/3/2017,7412825,2819
6/4/2017,7412825,2819
6/5/2017,7412825,2819
6/6/2017,7412825,2819
6/7/2017,7412825,2819
6/8/2017,7412825,2819
6/9/2017,7412825,2819
6/10/2017,7412825,2819
6/11/2017,7412825,2819
6/12/2017,7412825,2819
6/13/2017,7412825,2819
6/14/2017,7412825,2819
6/15/2017,7412825,5769
6/16/2017,7412825,3545
6/17/2017,7412825,1736
6/18/2017,7412825,1773
6/19/2017,7412825,3074
6/20/2017,7412825,3049
6/21/2017,7412825,3312
6/22/2017,7412825,3838
6/23/2017,7412825,2463
6/24/2017,7412825,1162
6/25/2017,7412825,1309
6/26/2017,7412825,2350
6/27/2017,7412825,2402
6/28/2017,7412825,3886
6/29/2017,7412825,5995
6/30/2017,7412825,3289
