Flight,Date,Banner/CC Name,Id,Impressions
GH-,6/24/2017,GH-branded-300X250-MR,2,55
GH-,6/24/2017,GH-Unbranded-300X250-MR,3,244
GH-,6/24/2017,GH-Unbranded-728X90-TB,4,341
GH-,6/25/2017,GH-branded-728X90-TB,1,83
GH-,6/25/2017,GH-branded-300X250-MR,2,59
GH-,6/25/2017,GH-Unbranded-300X250-MR,3,313
GH-,6/25/2017,GH-Unbranded-728X90-TB,4,418
GH-,6/26/2017,GH-branded-728X90-TB,1,79
GH-,6/26/2017,GH-branded-300X250-MR,2,103
GH-,6/26/2017,GH-Unbranded-300X250-MR,3,471
GH-,6/26/2017,GH-Unbranded-728X90-TB,4,501
GH-,6/27/2017,GH-branded-728X90-TB,1,127
GH-,6/27/2017,GH-branded-300X250-MR,2,126
GH-,6/27/2017,GH-Unbranded-300X250-MR,3,524
GH-,6/27/2017,GH-Unbranded-728X90-TB,4,633
GH-,6/28/2017,GH-branded-728X90-TB,1,192
GH-,6/28/2017,GH-branded-300X250-MR,2,167
GH-,6/28/2017,GH-Unbranded-300X250-MR,3,909
GH-,6/28/2017,GH-Unbranded-728X90-TB,4,1120
GH-,6/29/2017,GH-branded-728X90-TB,1,143
GH-,6/29/2017,GH-branded-300X250-MR,2,148
GH-,6/29/2017,GH-Unbranded-300X250-MR,3,773
GH-,6/29/2017,GH-Unbranded-728X90-TB,4,842
GH-,6/30/2017,GH-branded-728X90-TB,1,97
GH-,6/30/2017,GH-branded-300X250-MR,2,95
GH-,6/30/2017,GH-Unbranded-300X250-MR,3,520
GH-,6/30/2017,GH-Unbranded-728X90-TB,4,516
