Date,SID,BTpop
6/1/2017,7412864,1914
6/2/2017,7412864,1914
6/3/2017,7412864,1914
6/4/2017,7412864,1914
6/5/2017,7412864,1914
6/6/2017,7412864,1914
6/7/2017,7412864,1914
6/8/2017,7412864,1914
6/9/2017,7412864,1914
6/10/2017,7412864,1914
6/11/2017,7412864,1914
6/12/2017,7412864,1914
6/13/2017,7412864,1914
6/14/2017,7412864,2319
6/15/2017,7412864,2369
6/16/2017,7412864,2099
6/17/2017,7412864,1300
6/18/2017,7412864,1276
6/19/2017,7412864,2282
6/20/2017,7412864,2375
6/21/2017,7412864,2211
6/22/2017,7412864,2247
6/23/2017,7412864,1816
6/24/2017,7412864,996
6/25/2017,7412864,1210
6/26/2017,7412864,2118
6/27/2017,7412864,2178
6/28/2017,7412864,2159
6/29/2017,7412864,2124
6/30/2017,7412864,1780
